Time,Pair,Side,Price,Executed,Amount,Fee
2025-01-10 07:35:47,FLOKIUSDC,SELL,0.0001647,200000FLOKI,32.94USDC,0.03294USDC
2025-01-10 07:35:47,FLOKIUSDC,SELL,0.0001647,200000FLOKI,32.94USDC,0.03294USDC
2025-01-10 07:35:47,FLOKIUSDC,SELL,0.0001647,14748FLOKI,2.4289956USDC,0.002429USDC
2025-01-10 07:35:47,FLOKIUSDC,SELL,0.0001647,200000FLOKI,32.94USDC,0.03294USDC
2025-01-10 07:35:47,FLOKIUSDC,SELL,0.0001647,14748FLOKI,2.4289956USDC,0.002429USDC
2025-01-10 07:35:47,FLOKIUSDC,SELL,0.0001647,135401FLOKI,22.3005447USDC,0.02230054USDC
2025-01-10 07:35:47,FLOKIUSDC,SELL,0.0001647,14748FLOKI,2.4289956USDC,0.002429USDC
2025-01-10 07:35:47,FLOKIUSDC,SELL,0.0001647,14748FLOKI,2.4289956USDC,0.002429USDC
2025-01-10 07:35:47,FLOKIUSDC,SELL,0.0001647,14748FLOKI,2.4289956USDC,0.002429USDC
2025-01-10 07:35:47,FLOKIUSDC,SELL,0.0001647,200000FLOKI,32.94USDC,0.03294USDC
2025-01-10 07:35:47,FLOKIUSDC,SELL,0.0001647,200000FLOKI,32.94USDC,0.03294USDC
2025-01-10 07:35:47,FLOKIUSDC,SELL,0.0001647,200000FLOKI,32.94USDC,0.03294USDC
2025-01-10 07:35:47,FLOKIUSDC,SELL,0.0001647,200000FLOKI,32.94USDC,0.03294USDC
2025-01-10 07:35:47,FLOKIUSDC,SELL,0.0001647,200000FLOKI,32.94USDC,0.03294USDC
2025-01-10 07:35:47,FLOKIUSDC,SELL,0.0001647,14748FLOKI,2.4289956USDC,0.002429USDC
2025-01-10 07:35:47,FLOKIUSDC,SELL,0.0001647,200000FLOKI,32.94USDC,0.03294USDC
2025-01-10 07:35:47,FLOKIUSDC,SELL,0.0001647,200000FLOKI,32.94USDC,0.03294USDC
2025-01-10 07:35:47,FLOKIUSDC,SELL,0.0001647,14748FLOKI,2.4289956USDC,0.002429USDC
2025-01-10 07:35:47,FLOKIUSDC,SELL,0.0001647,200000FLOKI,32.94USDC,0.03294USDC
2025-01-10 07:35:47,FLOKIUSDC,SELL,0.0001647,200000FLOKI,32.94USDC,0.03294USDC
2025-01-10 07:35:47,FLOKIUSDC,SELL,0.0001647,14748FLOKI,2.4289956USDC,0.002429USDC
2025-01-10 07:35:47,FLOKIUSDC,SELL,0.0001647,14748FLOKI,2.4289956USDC,0.002429USDC
2025-01-10 07:35:47,FLOKIUSDC,SELL,0.0001647,70504FLOKI,11.6120088USDC,0.01161201USDC
2025-01-10 07:35:47,FLOKIUSDC,SELL,0.0001647,14748FLOKI,2.4289956USDC,0.002429USDC
2025-01-10 07:35:47,FLOKIUSDC,SELL,0.0001647,14748FLOKI,2.4289956USDC,0.002429USDC
2025-01-10 07:35:47,FLOKIUSDC,SELL,0.0001647,14748FLOKI,2.4289956USDC,0.002429USDC
2025-01-10 07:35:47,FLOKIUSDC,SELL,0.0001647,200000FLOKI,32.94USDC,0.03294USDC
2025-01-10 07:35:47,FLOKIUSDC,SELL,0.0001647,14748FLOKI,2.4289956USDC,0.002429USDC
2025-01-10 07:35:47,FLOKIUSDC,SELL,0.0001647,14748FLOKI,2.4289956USDC,0.002429USDC
2025-01-10 07:35:47,FLOKIUSDC,SELL,0.0001647,200000FLOKI,32.94USDC,0.03294USDC
2025-01-10 07:35:47,FLOKIUSDC,SELL,0.0001647,200000FLOKI,32.94USDC,0.03294USDC
2025-01-10 07:35:47,FLOKIUSDC,SELL,0.0001647,70504FLOKI,11.6120088USDC,0.01161201USDC
2025-01-10 07:35:47,FLOKIUSDC,SELL,0.0001647,54354FLOKI,8.9521038USDC,0.0089521USDC
